image_id,xmin,ymin,width,height,centerx,centery
372000_6472000,907.0,643.0,30,30,922,658
372000_6472000,929.0,651.0,30,30,944,666
372000_6472000,970.0,748.0,29.0,30,985,763
372000_6472000,959.0,933.0,30,30,974,948
373000_6463000,310.0,943.0,30,30,325,958
373000_6463000,478.0,551.0,30,30,493,566
373000_6463000,352.0,842.0,30,30,367,857
373000_6463000,664.0,146.0,30,30,679,161
373000_6463000,336.0,765.0,30,30,351,780
373000_6463000,383.0,601.0,30,30,398,616
373000_6463000,701.0,127.0,30,30,716,142
373000_6463000,295.0,960.0,30,30,310,975
373000_6463000,314.0,966.0,30,30,329,981
375000_6459000,561.0,603.0,30,30,576,618
375000_6459000,542.0,629.0,30,30,557,644
375000_6459000,598.0,505.0,30,30,613,520
375000_6459000,918.0,523.0,30,30,933,538
375000_6459000,338.0,901.0,30,30,353,916
375000_6459000,346.0,870.0,30,30,361,885
375000_6459000,397.0,889.0,30,30,412,904
375000_6459000,509.0,755.0,30,30,524,770
375000_6459000,365.0,938.0,30,30,380,953
375000_6459000,881.0,517.0,30,30,896,532
375000_6459000,836.0,508.0,30,30,851,523
375000_6459000,823.0,504.0,30,30,838,519
376000_6459000,755.0,58.0,30,30,770,73
376000_6459000,381.0,547.0,30,30,396,562
376000_6459000,706.0,53.0,30,30,721,68
376000_6467000,930.0,82.0,30,30,945,97
376000_6467000,871.0,676.0,30,30,886,691
376000_6467000,926.0,807.0,30,30,941,822
376000_6467000,837.0,630.0,30,30,852,645
376000_6467000,791.0,592.0,30,30,806,607
376000_6467000,744.0,469.0,30,30,759,484
376000_6467000,852.0,665.0,30,30,867,680
376000_6467000,883.0,420.0,30,30,898,435
376000_6467000,801.0,579.0,30,30,816,594
376000_6467000,860.0,669.0,30,30,875,684
376000_6467000,812.0,603.0,30,30,827,618
376000_6467000,52.0,833.0,30,30,67,848
376000_6467000,374.0,737.0,30,30,389,752
376000_6467000,786.0,458.0,30,30,801,473
376000_6467000,713.0,401.0,30,30,728,416
376000_6467000,750.0,464.0,30,30,765,479
376000_6467000,922.0,69.0,30,30,937,84
376000_6467000,936.0,90.0,30,30,951,105
376000_6467000,918.0,119.0,30,30,933,134
376000_6467000,922.0,104.0,30,30,937,119
376000_6472000,761.0,719.0,30,30,776,734
376000_6472000,781.0,696.0,30,30,796,711
377000_6460000,108.0,411.0,30,30,123,426
377000_6460000,787.0,224.0,30,30,802,239
377000_6460000,374.0,327.0,30,30,389,342
377000_6460000,441.0,309.0,30,30,456,324
377000_6460000,352.0,464.0,30,30,367,479
377000_6460000,425.0,535.0,30,30,440,550
377000_6460000,554.0,966.0,30,30,569,981
377000_6460000,388.0,411.0,30,30,403,426
377000_6460000,519.0,850.0,30,30,534,865
377000_6460000,506.0,806.0,30,30,521,821
377000_6460000,539.0,731.0,30,30,554,746
377000_6460000,473.0,698.0,30,30,488,713
377000_6460000,541.0,923.0,30,30,556,938
377000_6460000,522.0,860.0,30,30,537,875
377000_6460000,275.0,0.0,30,19.0,290,4
377000_6460000,430.0,552.0,30,30,445,567
377000_6460000,488.0,301.0,30,30,503,316
377000_6460000,323.0,162.0,30,30,338,177
377000_6460000,303.0,110.0,30,30,318,125
377000_6460000,879.0,114.0,30,30,894,129
